eegLowAlpha,eSenseMeditation,objectId,eegTheta,eegLowBeta,eegHighGamma,eegLowGamma,updatedAt,eegDelta,poorSignal,eegHighBeta,createdAt,eegHighAlpha,eSenseAttention
3470,0,ogTe14oO8V,3178,492,423,325,2014-08-03T19:07:33.850Z,30486,25,828,2014-08-03T19:07:33.850Z,1650,0
129791,0,OCG2vEra67,296781,48633,25238,14611,2014-08-03T19:07:34.890Z,173166,0,19867,2014-08-03T19:07:34.890Z,76713,0
22334,0,o6rxl9zbhi,111005,7985,9308,6525,2014-08-03T19:07:35.899Z,42559,0,14757,2014-08-03T19:07:35.899Z,32622,0
33056,0,tXBXujaZOf,262083,35637,6676,16461,2014-08-03T19:07:36.835Z,250513,0,21940,2014-08-03T19:07:36.835Z,86142,0
15000,30,s2cvM6E2op,78290,7351,7381,21684,2014-08-03T19:07:37.841Z,86874,0,15851,2014-08-03T19:07:37.841Z,17416,51
4224,13,bzo73qWBmF,157596,7717,25293,25965,2014-08-03T19:07:38.874Z,212891,0,18442,2014-08-03T19:07:38.874Z,12452,61
6495,27,iN4DkFdcYh,20577,11835,6886,5930,2014-08-03T19:07:39.873Z,6439,0,13246,2014-08-03T19:07:39.873Z,15783,84
880,10,sVU4CnNdTD,28958,3645,4212,2103,2014-08-03T19:07:40.914Z,16793,0,1508,2014-08-03T19:07:40.914Z,2380,78
7539,41,TbiEciYRTD,17570,5201,7219,9854,2014-08-03T19:07:41.862Z,11119,0,13494,2014-08-03T19:07:41.862Z,18394,90
0,0,CDhFMqNnOw,0,0,0,0,2014-08-03T19:07:42.822Z,0,0,0,2014-08-03T19:07:42.822Z,0,0
4502,66,XEhsbTpU9o,34374,7114,2515,2009,2014-08-03T19:07:42.846Z,133488,0,4660,2014-08-03T19:07:42.846Z,9957,88
109,43,cM1o9hdya6,17697,4182,1625,2916,2014-08-03T19:07:43.845Z,179926,0,2982,2014-08-03T19:07:43.845Z,3569,77
53130,84,441SeMyeYu,72221,22673,11346,9105,2014-08-03T19:07:44.913Z,298261,0,9591,2014-08-03T19:07:44.913Z,36616,81
3673,66,qkT0Q1kEfw,5786,2298,5761,5736,2014-08-03T19:07:45.806Z,141843,0,8122,2014-08-03T19:07:45.806Z,1358,81
7002,47,ezUo2cGAJK,111239,17444,1508,3774,2014-08-03T19:07:46.792Z,70265,0,8916,2014-08-03T19:07:46.792Z,11168,69
0,0,xgAzB4uUcp,0,0,0,0,2014-08-03T19:07:47.265Z,0,0,0,2014-08-03T19:07:47.265Z,0,0
8518,63,U2b54gRg8d,48506,6749,3543,2787,2014-08-03T19:07:47.821Z,291639,0,3059,2014-08-03T19:07:47.821Z,15759,48
0,0,25trUI2Vl4,0,0,0,0,2014-08-03T19:07:48.094Z,0,0,0,2014-08-03T19:07:48.094Z,0,0
0,0,XtcFDv9NJp,0,0,0,0,2014-08-03T19:07:48.340Z,0,0,0,2014-08-03T19:07:48.340Z,0,0
20591,29,xUVLjRqcgw,253734,30056,11205,19399,2014-08-03T19:07:48.810Z,368031,0,23380,2014-08-03T19:07:48.810Z,21498,47
56771,35,8W3r7jQDdz,243314,49427,51881,73893,2014-08-03T19:07:49.790Z,1039528,0,18695,2014-08-03T19:07:49.790Z,64015,16
0,0,bOeqt3Uo8c,0,0,0,0,2014-08-03T19:07:50.054Z,0,0,0,2014-08-03T19:07:50.054Z,0,0
0,0,l2IFT3b9an,0,0,0,0,2014-08-03T19:07:50.346Z,0,0,0,2014-08-03T19:07:50.346Z,0,0
79783,41,B2absH5dj5,725132,40788,17719,76253,2014-08-03T19:07:50.835Z,621753,0,78851,2014-08-03T19:07:50.835Z,72351,20
